,temp,door
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.2577,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
0,31.72584,closed
0,31.2577,closed
0,31.72584,closed
0,31.72584,closed
