temp,door,date
38.748,closed,2024-05-17 17:58:17
38.27986,closed,2024-05-17 17:58:18
38.748,closed,2024-05-17 17:58:18
38.748,closed,2024-05-17 17:58:20
38.748,closed,2024-05-17 17:58:20
38.748,closed,2024-05-17 17:58:20
38.748,closed,2024-05-17 17:58:21
38.748,closed,2024-05-17 17:58:21
38.748,closed,2024-05-17 17:58:22
38.748,closed,2024-05-17 17:58:25
38.748,closed,2024-05-17 17:58:26
38.748,closed,2024-05-17 17:58:26
38.748,closed,2024-05-17 17:58:27
38.748,closed,2024-05-17 17:58:27
38.748,closed,2024-05-17 17:58:28
38.748,closed,2024-05-17 17:58:28
38.748,closed,2024-05-17 17:58:29
38.748,closed,2024-05-17 17:58:29
38.748,closed,2024-05-17 17:58:30
38.748,closed,2024-05-17 17:58:30
38.27986,closed,2024-05-17 17:58:31
38.748,closed,2024-05-17 17:58:31
38.748,closed,2024-05-17 17:58:32
38.748,closed,2024-05-17 17:58:32
38.27986,closed,2024-05-17 17:58:33
38.748,closed,2024-05-17 17:58:33
38.748,closed,2024-05-17 17:58:33
38.27986,closed,2024-05-17 17:58:34
38.748,closed,2024-05-17 17:58:35
38.748,closed,2024-05-17 17:58:35
38.748,closed,2024-05-17 17:58:36
38.748,closed,2024-05-17 17:58:36
38.748,closed,2024-05-17 17:58:37
38.748,closed,2024-05-17 17:58:37
38.748,closed,2024-05-17 17:58:38
38.748,closed,2024-05-17 17:58:38
38.748,closed,2024-05-17 17:58:39
38.748,closed,2024-05-17 17:58:39
38.748,closed,2024-05-17 17:58:40
38.748,closed,2024-05-17 17:58:40
38.748,closed,2024-05-17 17:58:41
38.748,closed,2024-05-17 17:58:41
38.748,closed,2024-05-17 17:58:42
38.748,closed,2024-05-17 17:58:42
38.748,closed,2024-05-17 17:58:43
38.748,closed,2024-05-17 17:58:43
38.748,closed,2024-05-17 17:58:44
38.748,closed,2024-05-17 17:58:44
38.748,closed,2024-05-17 17:58:45
38.748,closed,2024-05-17 17:58:45
38.748,closed,2024-05-17 17:58:46
38.748,closed,2024-05-17 17:58:46
38.748,closed,2024-05-17 17:58:47
38.748,closed,2024-05-17 17:58:47
38.27986,closed,2024-05-17 17:58:48
38.748,closed,2024-05-17 17:58:48
38.748,closed,2024-05-17 17:58:49
38.748,closed,2024-05-17 17:58:49
38.748,closed,2024-05-17 17:58:49
38.748,closed,2024-05-17 17:58:50
38.748,closed,2024-05-17 17:58:50
38.748,closed,2024-05-17 17:58:51
38.748,closed,2024-05-17 17:58:52
